NombreParc;Distancia(m);Especie;Estrat;Nombre
1;0;Quercus ilex;Arbori;6
1;0;Arbutus unedo;Arbustiu;1
1;0;Quercus suber;Arbori;1
1;0;Quercus cerrioides;Arbori;4
1;0;Erica arborea;Herbaci;5
1;0;Hedera helix;Arbustiu;3
1;0;Viburnum tinus;Arbustiu;5
1;0;Pistacia lentiscus;Arbori;1
1;0;Rubia peregrina;Arbustiu;2
1;0;Quercus coccifera;Arbori;4
1;0;Cistus salviifollius;Arbustiu;1
1;0;Ulex parviflorus;Herbaci;3
2;5;Quercus ilex;Arbori;12
2;5;Arbutus unedo;Arbustiu;1
2;5;Quercus suber;Arbori;2
2;5;Quercus cerrioides;Arbori;4
2;5;Erica arborea;Herbaci;9
2;5;Hedera helix;Arbustiu;5
2;5;Viburnum tinus;Arbustiu;6
2;5;Pistacia lentiscus;Arbori;3
2;5;Rubia peregrina;Arbustiu;2
3;10;Quercus ilex;Arbori;11
3;10;Quercus suber;Arbori;4
3;10;Quercus cerrioides;Arbori;3
3;10;Erica arborea;Herbaci;3
3;10;Hedera helix;Arbustiu;2
3;10;Viburnum tinus;Arbustiu;3
3;10;Pistacia lentiscus;Arbori;3
3;10;Cistus salviifollius;Arbustiu;1
4;15;Quercus ilex;Arbori;7
4;15;Quercus cerrioides;Arbori;1
4;15;Erica arborea;Herbaci;9
4;15;Viburnum tinus;Arbustiu;3
4;15;Rubia peregrina;Arbustiu;4
5;20;Quercus ilex;Arbori;17
5;20;Arbutus unedo;Arbustiu;1
5;20;Quercus cerrioides;Arbori;7
5;20;Erica arborea;Herbaci;17
5;20;Hedera helix;Arbustiu;46
5;20;Viburnum tinus;Arbustiu;7
5;20;Pistacia lentiscus;Arbori;1
5;20;Rubia peregrina;Arbustiu;44
6;25;Quercus ilex;Arbori;22
6;25;Quercus cerrioides;Arbori;5
6;25;Erica arborea;Herbaci;5
6;25;Hedera helix;Arbustiu;7
6;25;Viburnum tinus;Arbustiu;8
6;25;Rubia peregrina;Arbustiu;1
6;25;Quercus coccifera;Arbori;2
6;25;Cistus salviifollius;Arbustiu;4
